Chip,,C5E34BDE-34FC-49AE-8341-73A3C8F1F2BA,,,
Felipe,,510CF327-7247-4E0D-B833-1CE377E8B319,,,
Robortella,,B82D2ACA-B010-4CAD-8562-8BFEF2A74D0F,,,
BBNB | UgoRukh,,4ECF687C-C405-4D31-8397-6AA0510526A7,,,
Anunnakis,,0FCCB5D3-FA58-4865-87AE-9556F27C39FF,,,
Eri,,AC47B53E-42D7-43B3-8BFD-534E9D3B5D72,,,
Kisori,,3AC1C6BF-9CE2-419B-8F45-6E56439F288E,,https://twitter.com/Kisori,"Charlotta
Lancelot"
Chibi,,7F5707C9-8F51-4642-AAB1-D3C5E8BFC377,,,
MRG | Fehres,,,,,
MonteeWaffle,,2B1FE0DF-4572-4110-B7C8-26952950ED06,,,
Hicchan,,4DE3E16F-A09C-4F95-A406-9435ED3AED77,,https://twitter.com/HiagoXYZ,Lancelot
Dranzer,,026BD58A-5362-466A-A48C-CC6A42650AAA,,,
Zlatan,,9D82E52F-9594-4C7F-826C-CC9331528B5C,,,
SOA | Zeppeli,,C747626F-88F2-4B1D-9711-33876455AC1B,,,
PF | Pastor,,0361619E-DABB-46BC-91E5-E40A166DFA85,,,
TRN | Whes Ryoran,,922BAFAA-854C-4B14-BBB2-A2054776BB5B,,,
ChF | TX,,8DF42905-182D-4527-847B-91B5C7A5A1B2,,,
LT1 | Ryuzlin,,E688F8F0-DDD9-404C-A91C-D889AA5C5671,,,
LVForce | Didimokof,,1839A86E-6272-4B9D-841B-CBDAC3FF83AF,,,
KK | FGC-ES | Macaquenhow,,C996850F-4EFA-48D2-9185-E6F119E3BE60,,,
Vieira,,45CBF188-5E4B-443E-A0C3-39088EBB589D,,,
Kael,,1ECD4084-2C5C-4DC4-8327-939AF4478EE9,,,
SOA_ZuZa,,1F369E71-5996-4BFF-B9E1-89AEB76C74DB,,,
Rigel,,0F142B57-8E10-4E7F-A156-A2840583A658,,,
Poggers | Serval Rib,,9061FF77-C110-472A-BE3F-20B102FDCFDA,,,
TT | Oniukan,,FFE7FBEA-0D67-48EE-8AC7-BB56603D9FD6,,,
Erunno,,86138AB9-AC2E-41F0-8A0C-6C98EE0ABE3D,,,
Miojo_Cósmico,,DBBA2DC6-A7C5-4569-9C88-B474E30D922D,,,
ENC | KiddoBR,,25C1C12B-8470-43CF-9A7B-793AB3185D59,,,
Hero,,AE04B440-B0E7-4FB2-95E7-6B17D95E5F4E,,,
Zeon,,F7B823E0-0A9A-4AA6-85BE-EBA16A3846ED,,,
Zord,,7D907B68-9A99-4DAC-9B12-8304601D93EF,,,
Thyrso,,E02C145F-431A-4E59-9EEA-CF42DB5F5FF7,,,
Kaidu,,B3ECCEED-976F-4117-9EBD-6A12870EF70D,,,
Muddy,,AF1D6A08-44A3-4A5B-ABDA-5AB32C22D2B1,,,
RDASH | CarmesimKing,,5AF3991F-FF1D-4D37-92AB-EC85CD1BD1B3,,,
MolhoMataBarbie,,8587DE94-8DA1-485D-9ADD-CD7DC05A6DB5,,,
Strume,,547300B5-672E-48F8-8D8B-AB66B280DD58,,,
Augustop,,5FEC5B47-BE36-4C67-B7E6-9BDA814567CD,,,
DOIDERA,,64E5A4F6-4AC8-414D-B33D-1DECB17B7A1B,,,
Ha7su,,B6EFD03C-DB61-4621-A87C-A29573115B58,,,
Kadurubu,,7F4A24A6-8568-4834-B438-31F741CFD698,,,
matoii,,060953AA-EE5B-4728-AEB0-4DF9A5BCF28A,,,
Saken,,B06EBF22-73E7-4B71-8E0A-491888501A61,,,
Lukitu,,0649C329-7A61-4EB0-B1E8-14CB93FAC20A,,,
Sir.Galahad,,DA5B628A-4A2C-4FCC-8DBC-70E0995791C6,,,
