BC | RoD,,,"homeonline:1984C832-E82D-4D2F-8B13-FA31B57B86E5
smashrj:8BD75881-346B-4992-A6E3-3B1B1DC833E2
prbth:74D28D53-1343-4B33-85F0-6A33A3651726",Rodrigo Santos,,"Pikachu
Kirby"
BDB | WFz,,,pernambuco:C7631972-A96A-4CA9-AF2F-E786B988DE29,,,Pokemon Trainer
BDS | Aoi,,,homeonline:B405CF80-75A4-40DB-B70A-77FB577C944C,,,
BeBop,,,"smashrj:DA316796-65D3-4BD0-9122-274EB970EB07
prbth:B680945D-8D84-4236-9FA2-9B08EED8D539",,,"Palutena
Captain Falcon"
Bebop,,AP,"liga_ultra_arcade_s1:B8ED9E5D-58F3-4428-BCD7-37E80D600BA6
prbth:7E595ECB-3AB5-40CB-B3A2-983DFCFC2CB3",Thiago Branco,https://twitter.com/ThiagoBranco48,"King K Rool
Mega Man"
Begot,,PA,,,,
Ben,,,ssbudf:E5DFC063-292F-4DCB-BDF1-D03233027066,,,
Ben1maL,,,homeonline:A8BD8358-D170-45C6-A325-B60FB0D41261,,,
Benimaru,,,"homeonline:08130AE4-5E4B-4BA2-BC47-B7BB66C1EDC8
prbth:20998A00-B84E-408F-B99B-2790C24BE2A7",,,
Benny,,,sucepr:7424CA63-BB38-471C-8A15-8E9B4EBBFA8E,,,"Ness
Incineroar"
Berbs,,,"teamdashsp:EB7BEA3A-6890-4236-9E89-9EEAB769EA87
prbth:9243357D-4603-4ACE-9E9C-F73E01DD5CAF",,,Mario
Berimbau,,PR,"homeonline:D669E344-8C05-4CF0-9E9D-771F41F70695
tryhardcwb:2C951117-73BB-49B6-B497-07ED61581542
prbth:D561D47A-1340-4A53-97DC-A2B26E9C5349",,,Banjo-Kazooie
BESUNTADO,,,homeonline:FC728A97-28C5-4FBC-8EA3-DB55CEA434EF,,,
Beth,,,pernambuco:F8948661-6198-49D7-8B1B-903566C3ADE5,,,
Bine,,,"smashrs2020:42604E4A-D035-4EC5-A5F4-56B4D26FFB29
prbth:35E35AC6-A7F1-4823-83A0-16C69FC14227",,,"Dr Mario
Falco
Ganondorf"
Bira (Viral),,,,,,Fox
BiscoitoDaVovo,,,homeonline:8A0A4D9A-11D3-4C33-ACC4-9E03E4DA80A3,,,
Bitola,,SP,"tryhardlondrina:DDE287F4-6001-4541-ADDB-C1E38F80F642
prbth:D90463D9-82BE-48EA-9831-79E6359F4D6E",,https://twitter.com/amdsBitola,Pikachu
Bizerro,,,homeonline:90C7C345-A51D-4EEB-91B1-E38209A1C855,,,
Blackjet,,,"teamdashsp:12A3B3BB-4CE7-42C2-AD23-34DA5E0BE84B
prbth:6621261B-EBC9-4C13-A330-BA6B14DE6AFB",,,
Blanco,,PR,"homeonline:F3D4F7CD-9A5A-4312-919C-A00272558F6D
tryhardcwb:0F453194-9E4A-4BE4-96C2-95B8A7B4AC74
prbth:A3243126-C880-4EED-B009-1F61EF6F7036",,https://twitter.com/Blanco_AF,"Joker
Shulk"
Blaze,,,"homeonline:8D212AB2-B4FD-4506-B47A-C7166478880A
prbth:BE19FE82-B6F0-4AB7-8033-23A0DA66A2C1",,,
Blaze Z,,SP,"homeonline:8D212AB2-B4FD-4506-B47A-C7166478880A
teamdashsp:E6E1B419-1F75-489F-971C-C9EB5E5C5270
prbth:BE19FE82-B6F0-4AB7-8033-23A0DA66A2C1",Renan Fukumori,,"Pichu
Wii Fit Trainer
Snake"
BleH,,,homeonline:42F8CD2B-13FD-49D5-834D-21A79A447572,,,
Blinio,,,"teamdashsp:09D715E4-312B-426C-A789-D37CD63DAFE7
prbth:77F1AA46-2386-4E09-89D7-37CB8C4B1590",,,
Blip,,,homeonline:8D34B90A-D132-4EEE-9F42-016CB9ED9877,,,
Blouder,,,pernambuco:95C178DF-5FFF-4915-840E-D65EECFD7793,,,
Bløwer,,DF,"homeonline:CEB65FF7-CC45-4ED9-8814-AB92572F6DDD
ssbudf:B754B648-C86C-4A58-96DF-74702229CAFE
prbth:85168310-EFBC-41C8-916B-09F9A5D99F9F",,https://twitter.com/ehoblower,"Ken
Bayonetta
Marth"
Bludeni,,,"teamdashsp:132D3DDE-4C23-482C-8169-E934D97EBED8
prbth:861D4E06-EAB7-40F7-892E-8A191CBC6C9C",,,Pikachu
Blue9002,,,ssbudf:CAD2181E-1711-4587-8563-EC9344CAC4C6,,,Inkling
Bob The Builder,,,ssbudf:41D4833B-CB23-4DAD-B532-B00AA7460A5F,,,Luigi
Bolso,,,"smashmanaus:399BFAB7-AFF2-4E99-A2A8-4214E45B45CD
prbth:6BE49E5A-EB2B-4957-B6A6-81F2C5D7A565",,https://twitter.com/FassoAirDodge,"Dr Mario
Pac Man
Ridley
Mii Brawler"
Boo,,,ssbudf:91AF6902-BD54-4D60-80A6-6BCFB728877F,,,Pokemon Trainer
Boogeyman,,,homeonline:3516919E-EB86-4242-B4A6-F85C9BCD0287,,,
Bora,,,homeonline:EAC90367-E213-4754-BC82-9E645207A71D,,,
borgES | 99255,,,homeonline:ED2E95E5-C734-4CE7-8FE6-5A0D3D9FF2A9,,,
borgES | EpicNando23,,,homeonline:C0BFCCA2-90C6-475A-923D-7CFCE557FBD9,,,
borgES | Jeans,,,homeonline:3F25AE72-C80E-4C40-BE79-0174EDC0B2AD,,,
borgES | Jubis,,,homeonline:FB9EC2F8-BDF5-4D30-A915-2F737020DE42,,,
Borracha,,,"teamdashsp:1E06E38E-DC8A-44AB-B140-D0A671268F11
prbth:ACF08CA5-2D33-4C3D-813F-30D192CEFF7F",,,
Bozo,DASH,,"teamdashsp:562014B5-B478-4CCF-9145-5CFFF864E260
prbth:BA246B8C-7FCD-4F6E-98B8-5C3A9D25EDB1",,,Dark Samus
Br | Brener,,,"liga_ultra_arcade_s1:6F117A6B-7048-4A56-BAB1-934F202E373A
prbth:F458489F-384D-4B5D-8CA9-2D7411B0BBB4",,,Little Mac
Br | Bruno,,,"liga_ultra_arcade_s1:56E29348-36FC-4033-B651-26B1F7D638E7
prbth:5D4229ED-EC6B-45AE-B1CC-F97AB8805278",,,Little Mac
Br1,,,homeonline:D5E106A3-D559-4689-B908-D4DDF65EEA70,,,
Bradal,,,"pernambuco:4EBAAF61-C258-4B1F-B7F1-1104FD2884AF
prbth:0AF828DB-DE6E-46F1-998A-4B603F4E2970",,,
BradalSb,,,homeonline:37AF3CD6-9C65-4A58-BAC1-74A33347EFEC,,,
Bruh's | Lodorigo,,,"smashrs2020:F0F74B33-D8F2-4B30-9797-38E4B05B6942
prbth:B864BAE2-1E13-49BD-864E-8F0360FD87E4",,,Wario
Bruh's | Mime,,,"smashrs2020:884E72E3-4994-4991-864C-F716913DB046
prbth:D3FD612D-4D70-4B1D-9503-6CBBB96D67FE",,,Greninja
Bruh's | Robalo_Du_Mau,,,"smashrs2020:FA629A1D-13E9-4FA3-8231-DAEF57BDEC85
prbth:457134BC-AF9C-401F-BF71-02465B201212",,,"Captain Falcon
Ganondorf"
Bruno,,,"homeonline:FEE4FFE3-09C8-4E2F-B2B4-D92EE2D6FC8F
pernambuco:35F0B58D-20A1-4896-A6A0-1149FF56B3F8
prbth:E5EDF78E-B6DF-4FAD-ADCF-24790EEB0BC3",,,
BS | Alle-Star,,MG,"ssbudf:3085E719-26EA-437F-B60A-934A6CE6D268
prbth:B9DE4F67-6F15-4C51-A037-6769A3CDF169",André Gustavo A. Ribeiro,https://twitter.com/ssballee,Roy
Bubbles,,SP,"homeonline:6AF6DC29-6B94-4A18-993B-0299BA5F1DAA
teamdashsp:01378094-0492-4071-BF19-B3A12A883ED5
prbth:9077EE6A-3F1F-4196-8BA2-879B6B85D7C5",Bruno Bulhões da Silva,https://twitter.com/bubbles_bruno,"Bayonetta
Zero Suit Samus"
Bumbadump!,,,homeonline:93039397-540D-4AC2-8FF1-B237F1974E25,,,
Burigato,,,homeonline:BD90AD81-5C12-4E1D-8642-95E065B8DBB8,,,
Burtão,,,smashrj:DD31B264-F4C5-47AC-9406-EF1AD7F1CDD9,,,
BW | Nuno,,,homeonline:C180A52A-388E-4E10-9475-7EE9C081B994,,,
BW | Young N,,,homeonline:85A8E1F8-E234-418A-92AF-87C4581A76C9,,,
c0ox,,,"homeonline:AFCE92B0-5019-462F-B950-F140A2D98D02
ssbudf:9520D467-632F-4D53-9D55-52C069579222",,,Ganondorf
c0ox | c0ox,,,homeonline:79512E5D-CAF2-472E-975B-F9D9F8325129,,,
C3l3,,,teamdashsp:1B1F2266-0698-4FB4-BAC5-20E4E8E7A36A,,,
Cainã,,PR,"tryhardcwb:5F3191DF-18FE-4655-B500-34F90BF1AF49
prbth:938B9E0A-6EEA-45FF-844C-B70C5BDE33E3",,,Zelda
Caio,,,"tryhardlondrina:3611A7D0-764B-4B78-A87D-101E171A30AC
prbth:EBBB656D-20BE-44C4-9A39-A908144F7AF6",,,
Caio Gois,,,ssbuse:0D799A87-9A61-4FA5-A740-F44CD164D239,,,"Pikachu
Pokemon Trainer"
Caio Moraes,,,"ssbuse:34DBF330-32AF-4322-B8EE-118024780744
prbth:8992175C-3B91-4683-91A5-4C91019C8A26",,,
Cannibal,,MG,"liga_ultra_arcade_s1:4B001892-D316-476D-9176-FA9D29847EFE
prbth:A989D066-F778-486D-B9ED-869B64337FC3
ssbudf:4D6AD852-BF6A-43A2-B030-49D48F9D3880",Rodrigo Lemos,https://twitter.com/rlcs0,"Peach
Inkling"
Capitão,,,"teamdashsp:920AAA3A-AFAD-45EA-AC0E-062658044AA9
prbth:C4661405-B1F2-46DC-AA7D-0FFF395E86D8",,,
Capixaba | Zackyo,,ES,homeonline:59D8B33A-BBAA-4EB9-BB9F-0BB39BE85A3F,,,Ike
Caps,,,homeonline:F5BBE4C4-B503-4B24-81C5-680C2FDD6F14,,,
Caron,,,"homeonline:A1676A3D-AA92-4125-9A75-E5F79DF233EB
pernambuco:3B8F7584-5AF7-4291-9EF3-DA516C52C088
prbth:75E84538-DFA1-4775-A330-644FEAC0C813",,,
Casciola,,,"tryhardcwb:83BEE485-1761-4817-9392-678DB6D3C139
prbth:9BCEADD8-35ED-4FCB-9F13-EC6FE3AAC835",,,
cassoassu,,,homeonline:FF7582D6-DE8D-40D3-8AE7-045EB45C63B3,,,
Casuj 数,,,"smashrs2020:D94DC37E-1B38-45BC-8A25-22EECED6A418
prbth:BD4FD59D-0705-41F7-9C89-3667F5FBBBC8",,,Greninja
Cauã,,,ssbuse:F3FB5BE1-F4F6-42B3-8D88-B184BD19E953,,,Sonic
cbarry,,,homeonline:44055FA2-BA0C-4A4C-B798-8EE73334E0F5,,,
CdL | Alchemisia,,,ssbudf:FB789708-3265-4DC9-A594-FBE38E5EAEA5,,,Bowser
CdL | USAM,,,ssbudf:2BDC38D8-CC88-4716-8B47-AA0CF94A34F4,,,"Joker
Terry"
CDX,,,ssbudf:E8DA3FD1-B9A9-453E-92CC-CA3D67B0FB30,,,Captain Falcon
Celo,,SP,,,,Ganondorf
Celta,,,homeonline:5A561780-A58B-48AA-B64D-FD532490E2D5,,,
Celular,,,,,,Mega Man
Cerko,,,pernambuco:B6A94538-2007-41D5-BC09-544C4604B187,,,
CGMS | FierceD,,,homeonline:E79CE505-D800-40F1-8FF8-3F1FA90D7165,,,
CGReborn | Kai,,,homeonline:7AFD66D4-F6D9-4803-8E51-ABAB37594F85,,,
CGReborn | Seki,,,homeonline:EB878002-FA30-49E1-86FF-9F50EDC9169E,,,
Chaig,,,homeonline:9C8EE92F-D842-4923-9D46-94F9C98EA876,,,
ChaosPrime,,,"smashrj:7377E836-28DA-47D1-AF56-D5A014AB3B73
prbth:AF785779-ED43-4712-BFB8-3DB96C11D321",,,"Dark Samus
Samus"
Chargeshot,,,,,,Samus
Charles,,,"pernambuco:294CAC59-D9CD-4A63-BAA0-276AB510043A
prbth:157E9346-2DAE-4F43-AA04-37B8BE4C905D",,,Simon
Cheshire,,,"smashmanaus:2C9A56D6-70C4-4AE7-9533-8F49B2FC4A7C
prbth:5D8DB683-6A3E-4AD3-AE31-BF00448CC985",,,"Palutena
Lucina"
"Chico, O Mal",,,homeonline:BB4B6E20-DB68-4439-B631-171D0002E8EE,,,
Chocobo,WasF,PR,"homeonline:642BCE7E-6EDE-44B7-9862-CA650A67F012
tryhardcwb:DA1B8061-33B8-43D3-ADC0-7C13C3E750D1
prbth:D71D1786-2369-4DD6-BFBC-13548D04FE1B",,https://twitter.com/ChocoboDesigner,"Shulk
Robin
Hero
Mii Brawler"
Chousth,,,"pernambuco:DCFFC2F7-87CF-4390-A29E-C51684A7144A
prbth:6F6B09C1-3536-43D4-AFE1-7D15C89AEC33",,,
Chrono,,,"tryhardcwb:A30CA6D8-3C09-46CA-8BDE-C66FFD3944D6
prbth:95FFDCF3-C26E-4B46-B159-3C54432EF858",,,Peach
Chubbs,,PR,,,,
Chur,TSD,SP,"homeonline:C845A7D1-E3D5-47E0-B12E-21CFB19DE0E8
prbth:01E36750-9D6F-4BA7-B21D-8A66C93A7F90
homeonline:A00D9E96-44E3-4A96-B92C-3A37ABF8FC05",,https://twitter.com/Chur86457407,Wolf
Cieli,,,"smashrs2020:E0569802-E41B-4939-9E1E-68EDFEC163D0
prbth:74F32886-CC57-4710-B61A-EE5EC25BAB30",,,Toon Link
Claudio,,,pernambuco:1167AB76-BA38-4181-AAD1-A6F6A0869213,,,
Claus,,,ssbudf:DBEB9187-47C9-4479-9840-AC85B942C2C7,,,Lucas
Cloud,,,pernambuco:5B191C7E-1179-43C8-9FBE-28F7320D8DC9,,,
